filename,title,authors,series,url,Category
9780063060937_8c60c420-49cb-4674-bb3a-62f5108bd6b5.jpg,How to Sing a Song,"Kwame Alexander, Melissa Sweet, Randy Preston",,https://harpercollins.com/products/how-to-sing-a-song-kwame-alexanderrandy-preston,Beginning Readers
9780062303882_84884480-66f5-4bc6-a840-de8eca36499c.jpg,Pete the Cat: Scuba-Cat,"James Dean, Kimberly Dean",Pete the Cat,https://harpercollins.com/products/pete-the-cat-scuba-cat-james-deankimberly-dean,Beginning Readers
9780063277953.jpg,Fox versus Fox,Corey R. Tabor,,https://harpercollins.com/products/fox-versus-fox-corey-r-tabor,Beginning Readers
9780062675378_1504cf0c-d89e-4eac-a736-213c496f0f8a.jpg,Pete the Cat's Trip to the Supermarket,"James Dean, Kimberly Dean",Pete the Cat,https://harpercollins.com/products/pete-the-cats-trip-to-the-supermarket-james-deankimberly-dean,Beginning Readers
9780060741723_b6dd4fb6-41dd-49ab-8e8f-16e089395e6b.jpg,Biscuit and the Little Pup,"Alyssa Satin Capucilli, Pat Schories",Biscuit,https://harpercollins.com/products/biscuit-and-the-little-pup-alyssa-satin-capucilli,Beginning Readers
9780062334206_2135d3a4-cf17-4afc-92ee-769de750d98c.jpg,Amelia Bedelia Chapter Book 4-Book Box Set,"Herman Parish, Lynne Avril",,https://harpercollins.com/products/amelia-bedelia-chapter-book-4-book-box-set-herman-parish,Beginning Readers
9780062849403_f57cb14d-c7e9-4040-8e49-87c4efef9cda.jpg,Disney Junior Fancy Nancy: A Fancy Reading Collection 5-Book Box Set,Various,Disney Junior Fancy Nancy,https://harpercollins.com/products/disney-junior-fancy-nancy-a-fancy-reading-collection-5-book-box-set-various,Beginning Readers
9780062849403_f57cb14d-c7e9-4040-8e49-87c4efef9cda.jpg,Disney Junior Fancy Nancy: A Fancy Reading Collection 5-Book Box Set,Various,Disney Junior Fancy Nancy,https://harpercollins.com/products/disney-junior-fancy-nancy-a-fancy-reading-collection-5-book-box-set-various,Beginning Readers
9780062086884.jpg,Mia and the Girl with a Twirl,"Robin Farley, Olga Ivanov, Aleksey Ivanov",,https://harpercollins.com/products/mia-and-the-girl-with-a-twirl-robin-farley,Beginning Readers
9780152059712_5fa43e62-f8d5-4fec-8cbd-7eabf763689f.jpg,Daniel's Mystery Egg/El misterioso huevo de Daniel,"Alma Flor Ada, G. Brian Karas",,https://harpercollins.com/products/daniels-mystery-eggel-misterioso-huevo-de-daniel-alma-flor-ada,Beginning Readers
9780064433334_3a3c4436-af00-47b6-8e32-f74c9e6d7749.jpg,The Chalk Doll,"Charlotte Pomerantz, Frane Lessac",,https://harpercollins.com/products/the-chalk-doll-charlotte-pomerantz,Beginning Readers
9780063056213.jpg,"Hello, Ninja. Hello, Stage Fright!","N. D. Wilson, Forrest Dickison",,https://harpercollins.com/products/hello-ninja-hello-stage-fright-n-d-wilson,Beginning Readers
9780062882578.jpg,Sharon Creech 3-Book Box Set,Sharon Creech,,https://harpercollins.com/products/sharon-creech-3-book-box-set-sharon-creech,Beginning Readers
9780064437721.jpg,Bronzeville Boys and Girls,"Gwendolyn Brooks, Faith Ringgold",,https://harpercollins.com/products/bronzeville-boys-and-girls-gwendolyn-brooks,Beginning Readers
9780062285980_14da8728-5a0c-42a2-9cc3-31db299d1264.jpg,"Lazy Bear, Crazy Bear","Kevin Bolger, Ben Hodson",,https://harpercollins.com/products/lazy-bear-crazy-bear-kevin-bolger,Beginning Readers
9780062432254.jpg,Ranger Rick: I Wish I Was a Bison,Jennifer Bové,Ranger Rick,https://harpercollins.com/products/ranger-rick-i-wish-i-was-a-bison-jennifer-bove,Beginning Readers
9780062364142_8373d9b8-84a3-41ec-b7b9-ffbf34e283ed.jpg,Chicken in Mittens,"Adam Lehrhaupt, Shahar Kober",,https://harpercollins.com/products/chicken-in-mittens-adam-lehrhaupt,Beginning Readers
9780618755059_5e67b1eb-51a6-42eb-87e1-e33501b7146e.jpg,BooBoo Board Book,Olivier Dunrea,,https://harpercollins.com/products/booboo-board-book-olivier-dunrea,Beginning Readers
9780064442824_e4e92e05-6f8f-4745-9023-a82ba67e0306.jpg,"Splish, Splash!","Sarah Weeks, Ashley Wolff",,https://harpercollins.com/products/splish-splash-sarah-weeks,Beginning Readers
9780152048433_140cb63b-8a1c-47bd-bb97-caa8c8e39173.jpg,The Enormous Turnip,"Alexei Tolstoy, Scott Goto",,https://harpercollins.com/products/the-enormous-turnip-alexei-tolstoy,Beginning Readers
9781328586476.jpg,Curious George: Trash into Treasure/Jorge el curioso: De basura a tesoro,H. A. Rey,Curious George,https://harpercollins.com/products/curious-george-trash-into-treasurejorge-el-curioso-de-basura-a-tesoro-h-a-rey,Beginning Readers
